Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0000001-FPX,WMS0000001-FPX,Gruppo articoli,WMS-Flex Packaging,0014-BS3-CLDFSPBR-1,0014-BS3-CLDFSPBR-1,,,,,No,Sì,OK
WMS0000002-FPX,WMS0000002-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLKOB2GRP,0029-BS3-CLKOB2GRP,,,,,No,Sì,OK
WMS0000003-FPX,WMS0000003-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLKOR2GRP,0029-BS3-CLKOR2GRP,,,,,No,Sì,OK
WMS0000004-FPX,WMS0000004-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLNNMNBCGR,0029-BS3-CLNNMNBCGR,,,,,No,Sì,OK
WMS0000005-FPX,WMS0000005-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLNNMNONCG,0029-BS3-CLNNMNONCG,,,,,No,Sì,OK
WMS0000006-FPX,WMS0000006-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLPCNTNGRP,0029-BS3-CLPCNTNGRP,,,,,No,Sì,OK
WMS0000007-FPX,WMS0000007-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CPSKRSS-1,0029-BS3-CPSKRSS-1,,,,,No,Sì,OK
WMS0000008-FPX,WMS0000008-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-DGCMR,0029-BS3-DGCMR,,,,,No,Sì,OK
WMS0000009-FPX,WMS0000009-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMARR-1,0060-BS3-1KGANMARR-1,,,,,No,Sì,OK
WMS0000010-FPX,WMS0000010-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMORO,0060-BS3-1KGANMORO,,,,,No,Sì,OK
WMS0000011-FPX,WMS0000011-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMRED,0060-BS3-1KGANMRED,,,,,No,Sì,OK
WMS0000012-FPX,WMS0000012-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGBRASGEN1,0060-BS3-1KGBRASGEN1,,,,,No,Sì,OK
WMS0000013-FPX,WMS0000013-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGCRMBLEST1,0060-BS3-1KGCRMBLEST1,,,,,No,Sì,OK
WMS0000014-FPX,WMS0000014-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-340GINTENSEM,0060-BS3-340GINTENSEM,,,,,No,Sì,OK
WMS0000015-FPX,WMS0000015-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-340GSAVOYM,0060-BS3-340GSAVOYM,,,,,No,Sì,OK
WMS0000016-FPX,WMS0000016-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-340GSUNSHIM,0060-BS3-340GSUNSHIM,,,,,No,Sì,OK
WMS0000017-FPX,WMS0000017-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-CLDANONERO2,0060-BS3-CLDANONERO2,,,,,No,Sì,OK
WMS0000018-FPX,WMS0000018-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-CLDANONMARR3,0060-BS3-CLDANONMARR3,,,,,No,Sì,OK
WMS0000019-FPX,WMS0000019-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-CLDTALENTO1,0060-BS3-CLDTALENTO1,,,,,No,Sì,OK
WMS0000020-FPX,WMS0000020-FPX,Gruppo articoli,WMS-Flex Packaging,0099-BS3-1KGARGENTO1,0099-BS3-1KGARGENTO1,,,,,No,Sì,OK
WMS0000021-FPX,WMS0000021-FPX,Gruppo articoli,WMS-Flex Packaging,0099-BS3-CLDSPNLR-1,0099-BS3-CLDSPNLR-1,,,,,No,Sì,OK
WMS0000022-FPX,WMS0000022-FPX,Gruppo articoli,WMS-Flex Packaging,0213-SSS-1KGTRROSSO1,0213-SSS-1KGTRROSSO1,,,,,No,Sì,OK
WMS0000023-FPX,WMS0000023-FPX,Gruppo articoli,WMS-Flex Packaging,0232-BS2-TDA,0232-BS2-TDA,,,,,No,Sì,OK
WMS0000024-FPX,WMS0000024-FPX,Gruppo articoli,WMS-Flex Packaging,0232-SSS-DCTVTR,0232-SSS-DCTVTR,,,,,No,Sì,OK
WMS0000025-FPX,WMS0000025-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BN3-TOPDG,0262-BN3-TOPDG,,,,,No,Sì,OK
WMS0000026-FPX,WMS0000026-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-16CPSAB,0262-BS3-16CPSAB,,,,,No,Sì,OK
WMS0000027-FPX,WMS0000027-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGBCB,0262-BS3-1KGBCB,,,,,No,Sì,OK
WMS0000028-FPX,WMS0000028-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGES-1,0262-BS3-1KGES-1,,,,,No,Sì,OK
WMS0000029-FPX,WMS0000029-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGGLLCDT-1,0262-BS3-1KGGLLCDT-1,,,,,No,Sì,OK
WMS0000030-FPX,WMS0000030-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGNEUTRO,0262-BS3-1KGNEUTRO,,,,,No,Sì,OK
WMS0000031-FPX,WMS0000031-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGNMRC-1,0262-BS3-1KGNMRC-1,,,,,No,Sì,OK
WMS0000032-FPX,WMS0000032-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGRRC-1,0262-BS3-1KGRRC-1,,,,,No,Sì,OK
WMS0000033-FPX,WMS0000033-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-1KGVNT,0262-BS3-1KGVNT,,,,,No,Sì,OK
WMS0000034-FPX,WMS0000034-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-250GRRC-2,0262-BS3-250GRRC-2,,,,,No,Sì,OK
WMS0000035-FPX,WMS0000035-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-500GRRC-2,0262-BS3-500GRRC-2,,,,,No,Sì,OK
WMS0000036-FPX,WMS0000036-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLDTTMPR,0262-BS3-CLDTTMPR,,,,,No,Sì,OK
WMS0000037-FPX,WMS0000037-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLNANS,0262-BS3-CLNANS,,,,,No,Sì,OK
WMS0000038-FPX,WMS0000038-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLNBNS-1,0262-BS3-CLNBNS-1,,,,,No,Sì,OK
WMS0000039-FPX,WMS0000039-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLNORS-1,0262-BS3-CLNORS-1,,,,,No,Sì,OK
WMS0000040-FPX,WMS0000040-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLONMRR-1,0262-BS3-CLONMRR-1,,,,,No,Sì,OK
WMS0000041-FPX,WMS0000041-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLONRSS,0262-BS3-CLONRSS,,,,,No,Sì,OK
WMS0000042-FPX,WMS0000042-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CLONVER-1,0262-BS3-CLONVER-1,,,,,No,Sì,OK
WMS0000043-FPX,WMS0000043-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CPNBN7G,0262-BS3-CPNBN7G,,,,,No,Sì,OK
WMS0000044-FPX,WMS0000044-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CPNOR7G,0262-BS3-CPNOR7G,,,,,No,Sì,OK
WMS0000045-FPX,WMS0000045-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CPONRSS,0262-BS3-CPONRSS,,,,,No,Sì,OK
WMS0000046-FPX,WMS0000046-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-CPSNP5C,0262-BS3-CPSNP5C,,,,,No,Sì,OK
WMS0000047-FPX,WMS0000047-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-N1KGBCB,0262-BS3-N1KGBCB,,,,,No,Sì,OK
WMS0000048-FPX,WMS0000048-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-N1KGBI-1,0262-BS3-N1KGBI-1,,,,,No,Sì,OK
WMS0000049-FPX,WMS0000049-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-N250GBA301,0262-BS3-N250GBA301,,,,,No,Sì,OK
WMS0000050-FPX,WMS0000050-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-N250GBAF,0262-BS3-N250GBAF,,,,,No,Sì,OK
WMS0000051-FPX,WMS0000051-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-NCLDBCD,0262-BS3-NCLDBCD,,,,,No,Sì,OK
WMS0000052-FPX,WMS0000052-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-NCLDBCL,0262-BS3-NCLDBCL,,,,,No,Sì,OK
WMS0000053-FPX,WMS0000053-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-NCLDBCR,0262-BS3-NCLDBCR,,,,,No,Sì,OK
WMS0000054-FPX,WMS0000054-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-NCPSBC,0262-BS3-NCPSBC,,,,,No,Sì,OK
WMS0000055-FPX,WMS0000055-FPX,Gruppo articoli,WMS-Flex Packaging,0262-BS3-NCPSBCL,0262-BS3-NCPSBCL,,,,,No,Sì,OK
WMS0000056-FPX,WMS0000056-FPX,Gruppo articoli,WMS-Flex Packaging,0296-BS3-1KGMONCAFEM3,0296-BS3-1KGMONCAFEM3,,,,,No,Sì,OK
WMS0000057-FPX,WMS0000057-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-AMODIO280-1,0404-BS2-AMODIO280-1,,,,,No,Sì,OK
WMS0000058-FPX,WMS0000058-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BDC260-2,0404-BS2-BDC260-2,,,,,No,Sì,OK
WMS0000059-FPX,WMS0000059-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BDC320-2,0404-BS2-BDC320-2,,,,,No,Sì,OK
WMS0000060-FPX,WMS0000060-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BGU300-3,0404-BS2-BGU300-3,,,,,No,Sì,OK
WMS0000061-FPX,WMS0000061-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BOG270-4,0404-BS2-BOG270-4,,,,,No,Sì,OK
WMS0000062-FPX,WMS0000062-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BOG300-3,0404-BS2-BOG300-3,,,,,No,Sì,OK
WMS0000063-FPX,WMS0000063-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BOG320-3,0404-BS2-BOG320-3,,,,,No,Sì,OK
WMS0000064-FPX,WMS0000064-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BPF270-2,0404-BS2-BPF270-2,,,,,No,Sì,OK
WMS0000065-FPX,WMS0000065-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BPF300-2,0404-BS2-BPF300-2,,,,,No,Sì,OK
WMS0000066-FPX,WMS0000066-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BPF320-1,0404-BS2-BPF320-1,,,,,No,Sì,OK
WMS0000067-FPX,WMS0000067-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BRC270BOLL-3,0404-BS2-BRC270BOLL-3,,,,,No,Sì,OK
WMS0000068-FPX,WMS0000068-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-BRC300BOLL-2,0404-BS2-BRC300BOLL-2,,,,,No,Sì,OK
WMS0000069-FPX,WMS0000069-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCCVT-3,0404-BS2-DCCVT-3,,,,,No,Sì,OK
WMS0000070-FPX,WMS0000070-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCFSL-3,0404-BS2-DCFSL-3,,,,,No,Sì,OK
WMS0000071-FPX,WMS0000071-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCPCC-3,0404-BS2-DCPCC-3,,,,,No,Sì,OK
WMS0000072-FPX,WMS0000072-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCRCH-3,0404-BS2-DCRCH-3,,,,,No,Sì,OK
WMS0000073-FPX,WMS0000073-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCSCLT-3,0404-BS2-DCSCLT-3,,,,,No,Sì,OK
WMS0000074-FPX,WMS0000074-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-DCTRF-3,0404-BS2-DCTRF-3,,,,,No,Sì,OK
WMS0000075-FPX,WMS0000075-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-FNT270-3,0404-BS2-FNT270-3,,,,,No,Sì,OK
WMS0000076-FPX,WMS0000076-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-FNT320-3,0404-BS2-FNT320-3,,,,,No,Sì,OK
WMS0000077-FPX,WMS0000077-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-FNT320-4,0404-BS2-FNT320-4,,,,,No,Sì,OK
WMS0000078-FPX,WMS0000078-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-FPF270-4,0404-BS2-FPF270-4,,,,,No,Sì,OK
WMS0000079-FPX,WMS0000079-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-FPF320-2,0404-BS2-FPF320-2,,,,,No,Sì,OK
WMS0000080-FPX,WMS0000080-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-GF280-5,0404-BS2-GF280-5,,,,,No,Sì,OK
WMS0000081-FPX,WMS0000081-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-GF320-1,0404-BS2-GF320-1,,,,,No,Sì,OK
WMS0000082-FPX,WMS0000082-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-MLNMRC-1,0404-BS2-MLNMRC-1,,,,,No,Sì,OK
WMS0000083-FPX,WMS0000083-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-MLNMRC-2,0404-BS2-MLNMRC-2,,,,,No,Sì,OK
WMS0000084-FPX,WMS0000084-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-MSSPR280,0404-BS2-MSSPR280,,,,,No,Sì,OK
WMS0000085-FPX,WMS0000085-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-MST280,0404-BS2-MST280,,,,,No,Sì,OK
WMS0000086-FPX,WMS0000086-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-MST320,0404-BS2-MST320,,,,,No,Sì,OK
WMS0000087-FPX,WMS0000087-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPF512,0404-BS2-NTPF512,,,,,No,Sì,OK
WMS0000088-FPX,WMS0000088-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS250,0404-BS2-NTPS250,,,,,No,Sì,OK
WMS0000089-FPX,WMS0000089-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS290,0404-BS2-NTPS290,,,,,No,Sì,OK
WMS0000090-FPX,WMS0000090-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS350,0404-BS2-NTPS350,,,,,No,Sì,OK
WMS0000091-FPX,WMS0000091-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS370,0404-BS2-NTPS370,,,,,No,Sì,OK
WMS0000092-FPX,WMS0000092-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS410,0404-BS2-NTPS410,,,,,No,Sì,OK
WMS0000093-FPX,WMS0000093-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS465,0404-BS2-NTPS465,,,,,No,Sì,OK
WMS0000094-FPX,WMS0000094-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTPS500,0404-BS2-NTPS500,,,,,No,Sì,OK
WMS0000095-FPX,WMS0000095-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-NTTV415,0404-BS2-NTTV415,,,,,No,Sì,OK
WMS0000096-FPX,WMS0000096-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-SD280,0404-BS2-SD280,,,,,No,Sì,OK
WMS0000097-FPX,WMS0000097-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-SD280-1,0404-BS2-SD280-1,,,,,No,Sì,OK
WMS0000098-FPX,WMS0000098-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-SD300,0404-BS2-SD300,,,,,No,Sì,OK
WMS0000099-FPX,WMS0000099-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-SRD280-3,0404-BS2-SRD280-3,,,,,No,Sì,OK
WMS0000100-FPX,WMS0000100-FPX,Gruppo articoli,WMS-Flex Packaging,0404-BS2-SRD320-1,0404-BS2-SRD320-1,,,,,No,Sì,OK
WMS0000101-FPX,WMS0000101-FPX,Gruppo articoli,WMS-Flex Packaging,0418-BS3-CLCB,0418-BS3-CLCB,,,,,No,Sì,OK
WMS0000102-FPX,WMS0000102-FPX,Gruppo articoli,WMS-Flex Packaging,0418-BS3-CLNR,0418-BS3-CLNR,,,,,No,Sì,OK
WMS0000103-FPX,WMS0000103-FPX,Gruppo articoli,WMS-Flex Packaging,0446-BS3-CLDDECAFAZZ1,0446-BS3-CLDDECAFAZZ1,,,,,No,Sì,OK
WMS0000104-FPX,WMS0000104-FPX,Gruppo articoli,WMS-Flex Packaging,0492-BS3-CPSMAB-1,0492-BS3-CPSMAB-1,,,,,No,Sì,OK
WMS0000105-FPX,WMS0000105-FPX,Gruppo articoli,WMS-Flex Packaging,0502-BN2-NTR310M02066,0502-BN2-NTR310M02066,,,,,No,Sì,OK
WMS0000106-FPX,WMS0000106-FPX,Gruppo articoli,WMS-Flex Packaging,0502-BN2-TOP_M01866,0502-BN2-TOP_M01866,,,,,No,Sì,OK
WMS0000107-FPX,WMS0000107-FPX,Gruppo articoli,WMS-Flex Packaging,0576-BS3-1KGPEPPOSCR1,0576-BS3-1KGPEPPOSCR1,,,,,No,Sì,OK
WMS0000108-FPX,WMS0000108-FPX,Gruppo articoli,WMS-Flex Packaging,0576-BS3-1KGPEPPOSES1,0576-BS3-1KGPEPPOSES1,,,,,No,Sì,OK
WMS0000109-FPX,WMS0000109-FPX,Gruppo articoli,WMS-Flex Packaging,0576-BS3-1KGSTANDGOLD,0576-BS3-1KGSTANDGOLD,,,,,No,Sì,OK
WMS0000110-FPX,WMS0000110-FPX,Gruppo articoli,WMS-Flex Packaging,0576-BS3-250GSTANDGOL,0576-BS3-250GSTANDGOL,,,,,No,Sì,OK
WMS0000111-FPX,WMS0000111-FPX,Gruppo articoli,WMS-Flex Packaging,0610-BS3-1KGESPBAROR1,0610-BS3-1KGESPBAROR1,,,,,No,Sì,OK
WMS0000112-FPX,WMS0000112-FPX,Gruppo articoli,WMS-Flex Packaging,0610-BS3-CLDARGMARR-1,0610-BS3-CLDARGMARR-1,,,,,No,Sì,OK
WMS0000113-FPX,WMS0000113-FPX,Gruppo articoli,WMS-Flex Packaging,0610-BS3-CLDNERBIANC,0610-BS3-CLDNERBIANC,,,,,No,Sì,OK
WMS0000114-FPX,WMS0000114-FPX,Gruppo articoli,WMS-Flex Packaging,0610-BS3-CLDNNMORO-1,0610-BS3-CLDNNMORO-1,,,,,No,Sì,OK
WMS0000115-FPX,WMS0000115-FPX,Gruppo articoli,WMS-Flex Packaging,0610-BS3-CLDNNMRED-1,0610-BS3-CLDNNMRED-1,,,,,No,Sì,OK
WMS0000116-FPX,WMS0000116-FPX,Gruppo articoli,WMS-Flex Packaging,0679-BS3-CLDARMGICPL1,0679-BS3-CLDARMGICPL1,,,,,No,Sì,OK
WMS0000117-FPX,WMS0000117-FPX,Gruppo articoli,WMS-Flex Packaging,0679-BS3-CLDAROMAGIC2,0679-BS3-CLDAROMAGIC2,,,,,No,Sì,OK
WMS0000118-FPX,WMS0000118-FPX,Gruppo articoli,WMS-Flex Packaging,0679-BS3-CLDAROMAGIC3,0679-BS3-CLDAROMAGIC3,,,,,No,Sì,OK
WMS0000119-FPX,WMS0000119-FPX,Gruppo articoli,WMS-Flex Packaging,0679-BS3-CLDBARBERA,0679-BS3-CLDBARBERA,,,,,No,Sì,OK
WMS0000120-FPX,WMS0000120-FPX,Gruppo articoli,WMS-Flex Packaging,0684-BS2-COD0450-1,0684-BS2-COD0450-1,,,,,No,Sì,OK
WMS0000121-FPX,WMS0000121-FPX,Gruppo articoli,WMS-Flex Packaging,0684-BS2-COD0463-1,0684-BS2-COD0463-1,,,,,No,Sì,OK
WMS0000122-FPX,WMS0000122-FPX,Gruppo articoli,WMS-Flex Packaging,0684-BS2-COD0591,0684-BS2-COD0591,,,,,No,Sì,OK
WMS0000123-FPX,WMS0000123-FPX,Gruppo articoli,WMS-Flex Packaging,0684-BS3-COD0541-1,0684-BS3-COD0541-1,,,,,No,Sì,OK
WMS0000124-FPX,WMS0000124-FPX,Gruppo articoli,WMS-Flex Packaging,0777-BS3-1KGNEUTROTC,0777-BS3-1KGNEUTROTC,,,,,No,Sì,OK
WMS0000125-FPX,WMS0000125-FPX,Gruppo articoli,WMS-Flex Packaging,0777-BS3-1KGPREMIU_ML,0777-BS3-1KGPREMIU_ML,,,,,No,Sì,OK
WMS0000126-FPX,WMS0000126-FPX,Gruppo articoli,WMS-Flex Packaging,0777-BS3-1KGVALUE_ML,0777-BS3-1KGVALUE_ML,,,,,No,Sì,OK
WMS0000127-FPX,WMS0000127-FPX,Gruppo articoli,WMS-Flex Packaging,0807-BS3-CLDCLASSGLL,0807-BS3-CLDCLASSGLL,,,,,No,Sì,OK
WMS0000128-FPX,WMS0000128-FPX,Gruppo articoli,WMS-Flex Packaging,0807-BS3-CLDFORTE,0807-BS3-CLDFORTE,,,,,No,Sì,OK
WMS0000129-FPX,WMS0000129-FPX,Gruppo articoli,WMS-Flex Packaging,0807-SSS-1KGEXTRARAN1,0807-SSS-1KGEXTRARAN1,,,,,No,Sì,OK
WMS0000130-FPX,WMS0000130-FPX,Gruppo articoli,WMS-Flex Packaging,0807-SSS-1KGNNMBEIGE1,0807-SSS-1KGNNMBEIGE1,,,,,No,Sì,OK
WMS0000131-FPX,WMS0000131-FPX,Gruppo articoli,WMS-Flex Packaging,0807-SSS-1KGSUBLIME1,0807-SSS-1KGSUBLIME1,,,,,No,Sì,OK
WMS0000132-FPX,WMS0000132-FPX,Gruppo articoli,WMS-Flex Packaging,0807-SSS-1KGSUPERBAR,0807-SSS-1KGSUPERBAR,,,,,No,Sì,OK
WMS0000133-FPX,WMS0000133-FPX,Gruppo articoli,WMS-Flex Packaging,0807-SSS-250GMOCAINT,0807-SSS-250GMOCAINT,,,,,No,Sì,OK
WMS0000134-FPX,WMS0000134-FPX,Gruppo articoli,WMS-Flex Packaging,0911-BS3-1KGCREM4X4-1,0911-BS3-1KGCREM4X4-1,,,,,No,Sì,OK
WMS0000135-FPX,WMS0000135-FPX,Gruppo articoli,WMS-Flex Packaging,0912-BS3-CLDNRN,0912-BS3-CLDNRN,,,,,No,Sì,OK
WMS0000136-FPX,WMS0000136-FPX,Gruppo articoli,WMS-Flex Packaging,0937-BS3-ALVN440-1,0937-BS3-ALVN440-1,,,,,No,Sì,OK
WMS0000137-FPX,WMS0000137-FPX,Gruppo articoli,WMS-Flex Packaging,0937-BS3-NTR440-1,0937-BS3-NTR440-1,,,,,No,Sì,OK
WMS0000138-FPX,WMS0000138-FPX,Gruppo articoli,WMS-Flex Packaging,0937-BS3-NTR630-1,0937-BS3-NTR630-1,,,,,No,Sì,OK
WMS0000139-FPX,WMS0000139-FPX,Gruppo articoli,WMS-Flex Packaging,0937-SSS-07IMB0068-1,0937-SSS-07IMB0068-1,,,,,No,Sì,OK
WMS0000140-FPX,WMS0000140-FPX,Gruppo articoli,WMS-Flex Packaging,0937-SSS-2KGALVENA-1,0937-SSS-2KGALVENA-1,,,,,No,Sì,OK
WMS0000141-FPX,WMS0000141-FPX,Gruppo articoli,WMS-Flex Packaging,1013-SSS-1KGLNGRM-1,1013-SSS-1KGLNGRM-1,,,,,No,Sì,OK
WMS0000142-FPX,WMS0000142-FPX,Gruppo articoli,WMS-Flex Packaging,1198-SSS-1KGLINECAF,1198-SSS-1KGLINECAF,,,,,No,Sì,OK
WMS0000143-FPX,WMS0000143-FPX,Gruppo articoli,WMS-Flex Packaging,1329-BS3-CLDNT,1329-BS3-CLDNT,,,,,No,Sì,OK
WMS0000144-FPX,WMS0000144-FPX,Gruppo articoli,WMS-Flex Packaging,1338-BS3-CLDTENSG,1338-BS3-CLDTENSG,,,,,No,Sì,OK
WMS0000145-FPX,WMS0000145-FPX,Gruppo articoli,WMS-Flex Packaging,1338-BS3-CLDVL,1338-BS3-CLDVL,,,,,No,Sì,OK
WMS0000146-FPX,WMS0000146-FPX,Gruppo articoli,WMS-Flex Packaging,1348-SSS-1KGMKBL-1,1348-SSS-1KGMKBL-1,,,,,No,Sì,OK
WMS0000147-FPX,WMS0000147-FPX,Gruppo articoli,WMS-Flex Packaging,1348-SSS-1KGMO,1348-SSS-1KGMO,,,,,No,Sì,OK
WMS0000148-FPX,WMS0000148-FPX,Gruppo articoli,WMS-Flex Packaging,1348-SSS-1KGMR-2,1348-SSS-1KGMR-2,,,,,No,Sì,OK
WMS0000149-FPX,WMS0000149-FPX,Gruppo articoli,WMS-Flex Packaging,1358-BS2-1KGRA-1-,1358-BS2-1KGRA-1-,,,,,No,Sì,OK
WMS0000150-FPX,WMS0000150-FPX,Gruppo articoli,WMS-Flex Packaging,1358-BS2-NTRF351X320,1358-BS2-NTRF351X320,,,,,No,Sì,OK
WMS0000151-FPX,WMS0000151-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-1KGN430,1373-SSS-1KGN430,,,,,No,Sì,OK
WMS0000152-FPX,WMS0000152-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-2KGFRCMRR,1373-SSS-2KGFRCMRR,,,,,No,Sì,OK
WMS0000153-FPX,WMS0000153-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-2KGFRCVRD-1,1373-SSS-2KGFRCVRD-1,,,,,No,Sì,OK
WMS0000154-FPX,WMS0000154-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-2KGFRCZZR,1373-SSS-2KGFRCZZR,,,,,No,Sì,OK
WMS0000155-FPX,WMS0000155-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-3KGFRCVRD-1,1373-SSS-3KGFRCVRD-1,,,,,No,Sì,OK
WMS0000156-FPX,WMS0000156-FPX,Gruppo articoli,WMS-Flex Packaging,1373-SSS-PSSRN,1373-SSS-PSSRN,,,,,No,Sì,OK
WMS0000157-FPX,WMS0000157-FPX,Gruppo articoli,WMS-Flex Packaging,1378-BS3-15CPSBLURE2,1378-BS3-15CPSBLURE2,,,,,No,Sì,OK
WMS0000158-FPX,WMS0000158-FPX,Gruppo articoli,WMS-Flex Packaging,1378-BS3-15CPSDEKRE-2,1378-BS3-15CPSDEKRE-2,,,,,No,Sì,OK
WMS0000159-FPX,WMS0000159-FPX,Gruppo articoli,WMS-Flex Packaging,1378-BS3-15CPSDG-1,1378-BS3-15CPSDG-1,,,,,No,Sì,OK
