Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0002619-NTD,000000000301626964,Gruppo articoli,WMS-VodafoneNTD,"SRX5K IOC3, 6X40GE AND 24X10GE PORTS",SRX5K-MPC3-40G10G,SRX5K-MPC3-40G10G,Unit,CORE,JUNIPER,No,Si,OK
WMS0002620-NTD,000000000301626966,Gruppo articoli,WMS-VodafoneNTD,"SRX5K SCB3, SWITCH CONTROL BOARD",SRX5K-SCB3,SRX5K-SCB3,Unit,CORE,JUNIPER,No,No,OK
WMS0002621-NTD,000000000301626969,Gruppo articoli,WMS-VodafoneNTD,100GBASE-LR4 ETHERNET ONLY CFP2 PLUGABLE,740-052504,CFP2-100GBase-LR4,Modulo SFP-XPF,CORE,JUNIPER,No,Si,OK
WMS0002622-NTD,000000000301626982,Gruppo articoli,WMS-VodafoneNTD,Dual Band Combiner800/900 (Double Unit),78210979V43,78210979V43,Unit,RADIO,KATHREIN,No,No,OK
WMS0002623-NTD,000000000301627098,Gruppo articoli,WMS-VodafoneNTD,"ION-M8/9 M2 cab, 1 port",7726664-0003,"ION-M8/9 M2 cab, 1 port",Unit,RADIO,COMMSCOPE,No,No,OK
WMS0002624-NTD,000000000301627099,Gruppo articoli,WMS-VodafoneNTD,"ION-M8/9/18P/21P M2 cab, 1 port",7726664-0001,"ION-M8/9/18P/21P M2 cab, 1 port",Unit,RADIO,COMMSCOPE,No,No,OK
WMS0002625-NTD,000000000301627675,Gruppo articoli,WMS-VodafoneNTD,"ANT â€“ 4LB, 4HB, 65DEG, 4RET - 1.4m",EGZHHTT-65B-R6,EGZHHTT-65B-R6,Antenna,RADIO,COMMSCOPE,No,Si,OK
WMS0002626-NTD,000000000301627681,Gruppo articoli,WMS-VodafoneNTD,"ANT â€“ 4LB, 8HB, 65DEG, 6RET - 2.1m",RRZZVV-65B-R6,RRZZVV-65B-R6,Antenna,RADIO,COMMSCOPE,No,Si,OK
WMS0002627-NTD,000000000301627683,Gruppo articoli,WMS-VodafoneNTD,"ANT - 4LB, 4HB, 65DEG, 4RET",RRZZ-65B-R4,RRZZ-65B-R4,Antenna,RADIO,COMMSCOPE,No,Si,OK
WMS0002628-NTD,000000000301627943,Gruppo articoli,WMS-VodafoneNTD,1850WDM_7_Z10,3AL82017AA,SFP+ DWDM Tunable NCHIRP with WT,Modulo SFP-XPF,TX,NSN,No,Si,OK
WMS0002629-NTD,000000000301627988,Gruppo articoli,WMS-VodafoneNTD,6352 Acc Power cable 70m,RPM1191693/70M,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002630-NTD,000000000301628006,Gruppo articoli,WMS-VodafoneNTD,SepKit3 7/8 0.9,NTB101701/2,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002631-NTD,000000000301628013,Gruppo articoli,WMS-VodafoneNTD,SepKit3 18/23 0.9,NTB101704/2,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002632-NTD,000000000301628014,Gruppo articoli,WMS-VodafoneNTD,"FullAXS Power, 50M (2.5mm2)",RPM1191693/50M,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002633-NTD,000000000301628021,Gruppo articoli,WMS-VodafoneNTD,SepKit3 10/11/13 0.9,NTB101702/2,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002634-NTD,000000000301628055,Gruppo articoli,WMS-VodafoneNTD,SepKit3 32/38 0.6,NTB101706/1,,Accessori,MW,ERICSSON,Si,No,OK
WMS0002635-NTD,000000000301628567,Gruppo articoli,WMS-VodafoneNTD,RRU3953 2100MHz for LTE,02311QFY,WD5MIRUCG10,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002636-NTD,000000000301628573,Gruppo articoli,WMS-VodafoneNTD,MNRF_RRU5909 2100MHz for LTE,02311TBD,WD5M215909GB,Rack,RADIO,HUAWEI,No,Si,OK
WMS0002637-NTD,000000000301628580,Gruppo articoli,WMS-VodafoneNTD,MNRF_RRU5909 900MHz for LTE,02311TBA,WD5M9E5909GB,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002638-NTD,000000000301628582,Gruppo articoli,WMS-VodafoneNTD,MNRF_RRU5502 1800 MHz + 2100MHz,02312BSJ,WD5MZAANHAAC,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002639-NTD,000000000301628584,Gruppo articoli,WMS-VodafoneNTD,RRU5502 1800 MHz + 2100MHz,02312BSJ,WD5MZAANHAAC,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002640-NTD,000000000301628591,Gruppo articoli,WMS-VodafoneNTD,MRFUd* 900MHz for LTE,02310QMT,WD5M9EMRFU06,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002641-NTD,000000000301628596,Gruppo articoli,WMS-VodafoneNTD,MNRF_UBBPe4,03057155,WD2DUBBPE400,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002642-NTD,000000000301628600,Gruppo articoli,WMS-VodafoneNTD,BBU5900 BOX,02311VFF,WD2M0BBU5900,Unit,RADIO,HUAWEI,No,No,OK
WMS0002643-NTD,000000000301628601,Gruppo articoli,WMS-VodafoneNTD,MNRF_BBU5900 BOX,02311VBK,WD2M0BBU5900,Unit,RADIO,HUAWEI,No,No,OK
WMS0002644-NTD,000000000301628602,Gruppo articoli,WMS-VodafoneNTD,MRFUd* 900MHz,02310QMT,WD5M9EMRFU06,Unit,RADIO,HUAWEI,No,No,OK
WMS0002645-NTD,000000000301628615,Gruppo articoli,WMS-VodafoneNTD,RRU5309 800MHz,02311TVV,02311TVV,Unit,RADIO,HUAWEI,No,Si,OK
WMS0002646-NTD,000000000301629600,Gruppo articoli,WMS-VodafoneNTD,OSX1D4N01,34060713-001,OSX1D4N01,Modulo SFP-XPF,TX,HUAWEI,No,No,OK
